1,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,
2,Total,3053,229,84,2740,03-04-2020 21:47,TT,508,38,12,
3,Maharashtra,490,50,26,414,03-04-2020 21:12,MH,67,8,5,
4,Tamil Nadu,411,6,1,404,03-04-2020 17:37,TN,102,0,0,
5,Delhi,386,8,5,373,03-04-2020 21:47,DL,93,0,1,
6,Kerala,295,42,2,251,03-04-2020 19:07,KL,9,14,0,
7,Uttar Pradesh,172,17,2,153,03-04-2020 08:52,UP,44,0,0,
8,Rajasthan,168,3,0,165,03-04-2020 19:37,RJ,35,0,0,
9,Andhra Pradesh,161,2,1,158,02-04-2020 22:32,AP,12,0,1,
10,Telangana,229,32,11,186,03-04-2020 20:27,TG,75,15,2,
11,Madhya Pradesh,129,0,8,121,03-04-2020 18:12,MP,22,0,0,
12,Karnataka,128,11,3,114,03-04-2020 18:22,KA,4,0,0,
13,Gujarat,95,10,9,76,03-04-2020 21:17,GJ,7,0,2,
14,Jammu and Kashmir,75,3,2,70,03-04-2020 17:37,JK,5,0,0,
15,Haryana,58,27,0,31,03-04-2020 20:27,HR,9,0,0,
16,West Bengal,53,3,6,44,02-04-2020 18:32,WB,0,0,0,
17,Punjab,53,1,5,47,02-04-2020 21:02,PB,6,0,0,
18,Bihar,31,3,1,27,03-04-2020 21:12,BR,2,0,0,
19,Assam,20,0,0,20,03-04-2020 17:37,AS,4,0,0,
20,Chandigarh,18,0,0,18,02-04-2020 18:57,CH,0,0,0,
21,Ladakh,14,3,0,11,27-03-2020 11:52,LA,1,0,0,
22,Uttarakhand,16,2,0,14,03-04-2020 21:47,UT,6,0,0,
23,Andaman and Nicobar Islands,10,0,0,10,30-03-2020 11:27,AN,0,0,0,
24,Chhattisgarh,9,3,0,6,31-03-2020 23:07,CT,0,0,0,
25,Odisha,9,2,0,7,03-04-2020 14:27,OR,4,1,0,
26,Himachal Pradesh,6,1,2,3,03-04-2020 17:17,HP,0,0,1,
27,Goa,6,0,0,6,03-04-2020 10:22,GA,1,0,0,
28,Puducherry,5,0,0,5,03-04-2020 02:37,PY,0,0,0,
29,Jharkhand,2,0,0,2,02-04-2020 19:42,JH,0,0,0,
30,Manipur,2,0,0,2,02-04-2020 09:42,MN,0,0,0,
31,Mizoram,1,0,0,1,26-03-2020 07:19,MZ,0,0,0,
32,Arunachal Pradesh,1,0,0,1,02-04-2020 11:42,AR,0,0,0,
33,Dadra and Nagar Haveli,0,0,0,0,26-03-2020 07:19,DN,0,0,0,
34,Daman and Diu,0,0,0,0,26-03-2020 07:19,DD,0,0,0,
35,Lakshadweep,0,0,0,0,26-03-2020 07:19,LD,0,0,0,
36,Meghalaya,0,0,0,0,26-03-2020 07:19,ML,0,0,0,
37,Nagaland,0,0,0,0,26-03-2020 07:19,NL,0,0,0,
38,Sikkim,0,0,0,0,26-03-2020 07:19,SK,0,0,0,
39,Tripura,0,0,0,0,26-03-2020 07:19,TR,0,0,0,
